stage_from,stage_to,layer,beta1,beta2,lr,eps,delta_median,sigma_median,gnew_median,ratio_num,ratio_den,R_lb,timestamp
full_loss_1,full_loss_2,w3.weight,0.9,0.999,0.01,1e-08,0.0047272564843297005,0.18737348914146423,0.04297502338886261,0.9900008191503007,0.0072564671508707065,69.25027615350142,1775830407.5626986
full_loss_1,full_loss_2,w3.bias,0.9,0.999,0.01,1e-08,6.74527953492543e-08,1.7038310033967718e-06,6.258487701416016e-07,0.970001407855331,0.01162143848156211,43.66782921498472,1775830407.5628736
full_loss_1,full_loss_2,bn0.weight,0.9,0.999,0.01,1e-08,0.00759017514064908,0.30392783880233765,0.12423183768987656,0.5498717360667238,0.012932416516438587,49.891269783214064,1775830407.5630548
full_loss_1,full_loss_2,bn0.bias,0.9,0.999,0.01,1e-08,0.005182893481105566,0.2705397605895996,0.12429742515087128,0.3752776155496078,0.014536112877437637,50.02203296840295,1775830407.5632145
full_loss_1,full_loss_2,bn1.weight,0.9,0.999,0.01,1e-08,0.006911872886121273,0.28360649943351746,0.1431572288274765,0.43453520638922444,0.015970347254887565,43.64901309342955,1775830407.5633814
full_loss_1,full_loss_2,bn1.bias,0.9,0.999,0.01,1e-08,0.00820949673652649,0.24349358677864075,0.10441466420888901,0.7076158429262162,0.013567231170016984,43.1636933835127,1775830407.5634882
full_loss_1,full_loss_2,bn2.weight,0.9,0.999,0.01,1e-08,0.008564341813325882,0.17932777106761932,0.09931319952011108,0.7761211670916733,0.017521717699115116,32.132959765745994,1775830407.5636022
full_loss_1,full_loss_2,bn2.bias,0.9,0.999,0.01,1e-08,0.00881942454725504,0.21780246496200562,0.08649422973394394,0.9176892050317628,0.012564395564021865,41.50306540965732,1775830407.563707
full_loss_1,full_loss_2,bn3.weight,0.9,0.999,0.01,1e-08,0.017187602818012238,0.2779233157634735,0.11865226179361343,1.3037124031388057,0.013507292192662087,32.13686025095529,1775830407.5638142
full_loss_1,full_loss_2,bn3.bias,0.9,0.999,0.01,1e-08,0.0227338969707489,0.2874223589897156,0.24535949528217316,0.8338991425646777,0.02700844471513958,20.189472693470005,1775830407.5639186
full_loss_1,full_loss_2,fc1.weight,0.9,0.999,0.01,1e-08,0.005883264821022749,0.17680180072784424,0.04779956117272377,1.1077378555163793,0.008553709199325993,55.466264910332484,1775830407.5643651
full_loss_1,full_loss_2,fc1.bias,0.9,0.999,0.01,1e-08,0.00746822590008378,0.21345104277133942,0.05203394591808319,1.2917343075475587,0.007712687521103379,56.57570784085184,1775830407.5645254
full_loss_1,full_loss_2,fc2.weight,0.9,0.999,0.01,1e-08,0.12855735421180725,3.756772994995117,1.647390604019165,0.7023326374951833,0.013873910454664438,42.34056872152105,1775830407.5646431
full_loss_1,full_loss_2,fc2.bias,0.9,0.999,0.01,1e-08,1.8855087757110596,23.61205291748047,24.161968231201172,0.7023260199260357,0.032375450255440454,18.144351291591143,1775830407.5647635
full_loss_2,full_loss_3,fc0.weight,0.9,0.999,0.01,1e-08,0.0021439066622406244,0.03939889371395111,0.03877874091267586,0.49757056329182986,0.031140596881373234,21.443011090174416,1775830418.957996
full_loss_2,full_loss_3,fc0.bias,0.9,0.999,0.01,1e-08,1.5232307077894802e-06,1.837542004068382e-05,9.8496675491333e-06,1.3918312379467455,0.016959050333350236,24.652561932079912,1775830418.958117
full_loss_2,full_loss_3,conv0.weights1,0.9,0.999,0.01,1e-08,1.472105759603437e-05,8.333412552019581e-05,0.00010260757699143142,1.291225472404907,0.038955950058309305,11.203604748736584,1775830418.9655137
full_loss_2,full_loss_3,conv1.weights1,0.9,0.999,0.01,1e-08,3.266787462052889e-05,0.00019775789405684918,0.00021749660663772374,1.3517952062704508,0.034796527875644266,12.219806157102123,1775830418.9730048
full_loss_2,full_loss_3,conv2.weights1,0.9,0.999,0.01,1e-08,4.038915358250961e-05,0.00028021566686220467,0.0002602925815153867,1.396514563457062,0.029389123368823544,14.198192917966988,1775830418.9804175
